id,channel,title
961,facebook,34 NFL Linebackers Who Are Clearly Being Raised Right
962,twitter,14 Snapchat Filters That Look Like Miley Cyrus
963,twitter,24 Cover Bands Who Are Only Famous To People Who Live In New York
964,twitter,The 31 Most Beloved Gifts Of The '80s
965,google+,The 13 Creepiest Charts Of The Last 10 Years
966,facebook,The 48 Most Important Fragrances Of This Century
967,facebook,The 48 Most Important Fragrances Of This Century
968,google+,The 16 Cheesiest Advertisements Of This Year
969,google+,14 Snapchat Filters That Look Like Miley Cyrus
970,linkedin,34 NFL Linebackers Who Are Clearly Being Raised Right
971,linkedin,The 16 Cheesiest Advertisements Of This Year
972,twitter,45 Water Bottles That Only Eldest Siblings Know
973,linkedin,24 Cover Bands Who Are Only Famous To People Who Live In New York
974,linkedin,The 48 Most Important Fragrances Of This Century
975,twitter,The 13 Creepiest Charts Of The Last 10 Years
976,linkedin,The 48 Most Important Fragrances Of This Century
977,linkedin,The 22 Most Jizz-Worthy Series Finales Of 2013
978,twitter,14 Snapchat Filters That Look Like Miley Cyrus
979,facebook,The 13 Creepiest Charts Of The Last 10 Years
980,twitter,The 48 Most Important Fragrances Of This Century
981,twitter,14 Snapchat Filters That Look Like Miley Cyrus
982,linkedin,14 Snapchat Filters That Look Like Miley Cyrus
983,google+,45 Water Bottles That Only Eldest Siblings Know
984,google+,The 22 Most Jizz-Worthy Series Finales Of 2013
985,facebook,The 21 Cars That Scream World Domination
986,google+,The 16 Cheesiest Advertisements Of This Year
987,google+,45 Water Bottles That Only Eldest Siblings Know
988,twitter,24 Cover Bands Who Are Only Famous To People Who Live In New York
989,twitter,34 NFL Linebackers Who Are Clearly Being Raised Right
990,google+,The 27 Most Delicate Frat Houses From LOST
991,facebook,14 Snapchat Filters That Look Like Miley Cyrus
992,google+,The 31 Most Beloved Gifts Of The '80s
993,linkedin,34 NFL Linebackers Who Are Clearly Being Raised Right
994,twitter,34 NFL Linebackers Who Are Clearly Being Raised Right
995,facebook,34 NFL Linebackers Who Are Clearly Being Raised Right
996,facebook,The 21 Cars That Scream World Domination
997,google+,The 48 Most Important Fragrances Of This Century
998,linkedin,40 Avril Lavigne Fans Who Completely Screwed Up Their One Job
999,linkedin,The 27 Most Delicate Frat Houses From LOST
