id,brand,model,color,click
1677,Nissan,Versa,silver,0
1678,Honda,Fit,red,1
1679,Nissan,Juke,blue,0
1680,Toyota,Yaris,red,0
1681,Toyota,RAV4,black,0
1682,Ford,Fiesta,dark-blue,0
1683,Chevy,Camaro,black,0
1684,Chevy,Cruze,black,0
1685,Nissan,Juke,silver,0
1686,Chevy,Camaro,red,0
1687,Chevy,Sonic,silver,0
1688,Chevy,Impala,black,0
1689,Chevy,Cruze,black,1
1690,Chevy,Malibu,red,0
1691,Ford,Explorer,black,0
1692,Chevy,Impala,black,0
1693,Ford,Explorer,red,1
1694,Nissan,Versa,silver,1
1695,Ford,Focus,white,0
1696,Nissan,Sentra,dark-blue,0
1697,Toyota,Yaris,blue,1
1698,Toyota,Yaris,white,0
1699,Nissan,Sentra,blue,0
1700,Honda,Odyssey,white,0
1701,Chevy,Cruze,silver,0
1702,Nissan,Juke,silver,1
1703,Nissan,Sentra,silver,0
1704,Ford,Explorer,red,0
1705,Ford,Focus,blue,0
1706,Toyota,Corolla,dark-blue,0
1707,Nissan,Pathfinder,white,0
1708,Chevy,Cruze,black,0
1709,Honda,Civic,silver,0
1710,Toyota,Camry,red,1
1711,Ford,Escape,blue,0
1712,Nissan,Pathfinder,blue,0
1713,Chevy,Camaro,black,0
1714,Nissan,Versa,dark-blue,0
1715,Ford,Explorer,blue,1
1716,Nissan,Versa,black,1
1717,Honda,Civic,red,0
1718,Nissan,Sentra,blue,0
1719,Nissan,Sentra,dark-blue,0
1720,Toyota,Prius,silver,0
1721,Nissan,Pathfinder,black,0
1722,Toyota,Camry,red,0
1723,Honda,CR-V,red,0
1724,Honda,Civic,dark-blue,0
1725,Ford,Focus,dark-blue,1
1726,Honda,CR-V,silver,1
1727,Chevy,Camaro,silver,0
1728,Toyota,Corolla,white,0
1729,Ford,Explorer,blue,0
1730,Toyota,Prius,black,0
1731,Nissan,Versa,silver,1
1732,Ford,Fiesta,blue,0
1733,Ford,Focus,blue,0
1734,Nissan,Juke,black,0
1735,Honda,Civic,white,0
1736,Chevy,Cruze,blue,0
1737,Chevy,Impala,dark-blue,1
1738,Ford,Explorer,blue,1
1739,Honda,Accord,black,1
1740,Toyota,Camry,black,0
1741,Honda,Civic,black,0
1742,Chevy,Camaro,red,0
1743,Toyota,Prius,blue,1
1744,Ford,Mustang,red,1
1745,Nissan,Sentra,silver,0
1746,Ford,Mustang,dark-blue,0
1747,Ford,Mustang,silver,0
1748,Nissan,Maxima,white,1
1749,Honda,Accord,black,0
1750,Nissan,Sentra,white,0
1751,Chevy,Malibu,white,0
1752,Nissan,Juke,blue,0
1753,Ford,Fiesta,dark-blue,0
1754,Honda,CR-V,blue,0
1755,Chevy,Camaro,silver,0
1756,Toyota,RAV4,white,0
1757,Chevy,Malibu,dark-blue,0
1758,Ford,Escape,red,0
1759,Ford,Explorer,dark-blue,1
1760,Nissan,Altima,white,0
1761,Chevy,Cruze,dark-blue,0
1762,Nissan,Sentra,white,0
1763,Chevy,Sonic,black,0
1764,Chevy,Camaro,red,0
1765,Honda,Civic,dark-blue,0
1766,Ford,Explorer,blue,0
1767,Honda,Fit,white,1
1768,Nissan,Maxima,silver,0
1769,Nissan,Altima,white,0
1770,Nissan,Pathfinder,silver,0
1771,Honda,Fit,silver,1
1772,Toyota,4Runner,silver,0
1773,Honda,Odyssey,blue,0
1774,Chevy,Malibu,dark-blue,0
1775,Toyota,4Runner,blue,0
1776,Toyota,4Runner,blue,0
1777,Honda,CR-V,dark-blue,0
1778,Honda,Fit,red,1
1779,Nissan,Maxima,red,0
1780,Ford,Fiesta,red,1
1781,Toyota,Camry,silver,1
1782,Honda,Fit,blue,1
1783,Nissan,Pathfinder,red,0
1784,Chevy,Cruze,red,0
1785,Nissan,Altima,silver,0
1786,Ford,Fiesta,black,1
1787,Ford,Focus,white,0
1788,Toyota,4Runner,dark-blue,0
1789,Chevy,Camaro,dark-blue,0
1790,Toyota,4Runner,red,0
1791,Chevy,Cruze,dark-blue,0
1792,Ford,Explorer,dark-blue,0
1793,Ford,Fiesta,white,0
1794,Chevy,Malibu,red,0
1795,Toyota,Corolla,dark-blue,0
1796,Chevy,Camaro,white,0
1797,Honda,Civic,dark-blue,0
1798,Honda,Accord,red,0
1799,Honda,Odyssey,red,0
1800,Ford,Explorer,white,0
1801,Nissan,Versa,silver,1
1802,Chevy,Camaro,blue,1
1803,Ford,Escape,white,1
1804,Toyota,Yaris,black,1
1805,Honda,Fit,black,0
1806,Toyota,Prius,white,0
1807,Chevy,Cruze,silver,1
1808,Chevy,Impala,black,0
1809,Nissan,Sentra,blue,1
1810,Nissan,Altima,silver,1
1811,Toyota,Yaris,black,0
1812,Chevy,Impala,white,0
1813,Chevy,Sonic,black,0
1814,Nissan,Maxima,red,0
1815,Nissan,Pathfinder,white,0
1816,Toyota,Prius,dark-blue,0
1817,Toyota,Yaris,red,0
1818,Toyota,Camry,white,0
1819,Chevy,Impala,silver,1
1820,Honda,Odyssey,red,0
1821,Chevy,Cruze,black,0
1822,Honda,CR-V,red,1
1823,Honda,Accord,red,0
1824,Nissan,Sentra,black,0
1825,Ford,Mustang,red,1
1826,Honda,Accord,blue,0
1827,Honda,Odyssey,blue,0
1828,Honda,Civic,silver,0
1829,Chevy,Malibu,blue,1
1830,Nissan,Pathfinder,red,1
1831,Toyota,Yaris,dark-blue,0
1832,Nissan,Altima,red,0
1833,Chevy,Cruze,dark-blue,1
1834,Honda,Civic,white,0
1835,Honda,CR-V,silver,0
1836,Honda,CR-V,dark-blue,0
1837,Chevy,Cruze,blue,0
1838,Chevy,Sonic,silver,0
1839,Nissan,Juke,silver,0
1840,Toyota,RAV4,dark-blue,0
1841,Honda,Accord,blue,0
1842,Honda,Odyssey,blue,1
1843,Toyota,Yaris,silver,1
1844,Chevy,Cruze,silver,1
1845,Nissan,Versa,silver,0
1846,Ford,Explorer,white,0
1847,Toyota,RAV4,black,0
1848,Nissan,Pathfinder,red,0
1849,Toyota,Corolla,white,0
1850,Honda,Odyssey,silver,0
1851,Nissan,Versa,white,0
1852,Honda,Odyssey,silver,0
1853,Honda,Fit,blue,0
1854,Chevy,Cruze,dark-blue,0
1855,Toyota,Camry,silver,0
1856,Toyota,Prius,blue,0
1857,Toyota,4Runner,white,0
1858,Ford,Escape,silver,0
1859,Honda,CR-V,red,0
1860,Chevy,Sonic,silver,0
1861,Honda,Fit,dark-blue,0
1862,Ford,Mustang,white,0
1863,Nissan,Versa,dark-blue,0
1864,Chevy,Camaro,blue,0
1865,Nissan,Versa,dark-blue,0
1866,Honda,Civic,dark-blue,0
1867,Toyota,4Runner,white,0
1868,Honda,Fit,white,0
1869,Ford,Focus,red,1
1870,Toyota,RAV4,red,0
1871,Honda,Fit,dark-blue,0
1872,Ford,Fiesta,blue,0
1873,Ford,Escape,red,0
1874,Nissan,Juke,blue,1
1875,Chevy,Impala,blue,0
1876,Ford,Fiesta,white,1
1877,Nissan,Maxima,dark-blue,0
1878,Nissan,Sentra,white,0
1879,Nissan,Versa,white,0
1880,Nissan,Altima,red,0
1881,Chevy,Malibu,red,1
1882,Toyota,Yaris,white,0
1883,Toyota,RAV4,blue,0
1884,Ford,Fiesta,white,1
1885,Chevy,Sonic,white,0
1886,Honda,CR-V,white,0
1887,Nissan,Versa,white,0
1888,Toyota,Prius,silver,0
1889,Nissan,Versa,dark-blue,1
1890,Ford,Fiesta,black,0
1891,Ford,Escape,red,0
1892,Ford,Explorer,dark-blue,0
1893,Ford,Escape,blue,1
1894,Chevy,Impala,black,0
1895,Nissan,Juke,black,1
1896,Ford,Mustang,blue,0
1897,Toyota,Corolla,dark-blue,0
1898,Ford,Fiesta,red,1
1899,Nissan,Juke,black,0
1900,Toyota,Yaris,red,0
1901,Honda,CR-V,silver,0
1902,Nissan,Altima,silver,1
1903,Honda,Accord,silver,0
1904,Honda,CR-V,dark-blue,0
1905,Chevy,Camaro,white,1
1906,Nissan,Juke,black,1
1907,Ford,Mustang,silver,1
1908,Nissan,Versa,white,1
1909,Chevy,Impala,white,0
1910,Honda,Civic,dark-blue,1
1911,Chevy,Sonic,silver,1
1912,Nissan,Maxima,black,0
1913,Toyota,Camry,red,0
1914,Toyota,Yaris,dark-blue,0
1915,Honda,Accord,red,0
1916,Honda,CR-V,silver,0
1917,Chevy,Camaro,silver,0
1918,Ford,Mustang,white,0
1919,Toyota,Camry,black,0
1920,Nissan,Maxima,blue,0
1921,Honda,Odyssey,black,0
1922,Nissan,Versa,dark-blue,1
1923,Ford,Fiesta,silver,0
1924,Toyota,Yaris,red,0
1925,Toyota,Yaris,silver,1
1926,Honda,Accord,silver,0
1927,Ford,Focus,silver,1
1928,Ford,Explorer,red,0
1929,Honda,Fit,red,1
1930,Chevy,Sonic,white,0
1931,Toyota,Yaris,red,0
1932,Ford,Mustang,dark-blue,0
1933,Ford,Fiesta,black,0
1934,Honda,CR-V,silver,0
1935,Chevy,Impala,dark-blue,0
1936,Honda,Fit,red,0
1937,Chevy,Malibu,white,0
1938,Nissan,Maxima,red,1
1939,Toyota,RAV4,silver,1
1940,Toyota,Prius,black,1
1941,Chevy,Malibu,black,0
1942,Ford,Mustang,red,1
1943,Honda,Accord,red,1
1944,Toyota,Camry,white,0
1945,Honda,Fit,dark-blue,0
1946,Nissan,Juke,silver,0
1947,Toyota,Corolla,blue,0
1948,Chevy,Cruze,blue,0
1949,Honda,Fit,black,0
1950,Chevy,Sonic,blue,0
1951,Nissan,Juke,black,0
1952,Nissan,Juke,black,0
1953,Toyota,Yaris,black,0
1954,Toyota,Corolla,blue,0
1955,Ford,Escape,silver,0
1956,Nissan,Sentra,black,0
1957,Toyota,Corolla,silver,1
1958,Ford,Focus,red,0
1959,Toyota,4Runner,white,0
1960,Honda,CR-V,white,0
1961,Honda,CR-V,black,1
1962,Ford,Mustang,white,0
1963,Chevy,Cruze,dark-blue,0
1964,Ford,Focus,silver,0
1965,Honda,Fit,blue,1
1966,Honda,Accord,blue,0
1967,Nissan,Maxima,red,0
1968,Chevy,Cruze,silver,0
1969,Chevy,Camaro,white,1
1970,Toyota,Yaris,black,0
1971,Ford,Mustang,red,1
1972,Ford,Escape,red,0
1973,Honda,Odyssey,silver,0
1974,Nissan,Sentra,red,0
1975,Nissan,Pathfinder,black,1
1976,Chevy,Malibu,silver,0
1977,Ford,Focus,white,0
1978,Ford,Mustang,dark-blue,0
1979,Chevy,Camaro,silver,0
1980,Nissan,Maxima,black,0
1981,Chevy,Cruze,black,0
1982,Ford,Fiesta,blue,0
1983,Chevy,Sonic,dark-blue,0
1984,Honda,Fit,blue,1
1985,Chevy,Malibu,white,0
1986,Toyota,4Runner,blue,0
1987,Nissan,Sentra,blue,0
1988,Chevy,Camaro,silver,0
1989,Ford,Mustang,blue,1
1990,Ford,Focus,red,0
1991,Honda,Odyssey,black,0
1992,Nissan,Versa,dark-blue,0
1993,Honda,Odyssey,red,0
1994,Nissan,Pathfinder,white,0
1995,Chevy,Impala,red,0
1996,Toyota,Prius,red,0
1997,Toyota,Camry,red,0
1998,Chevy,Sonic,red,0
1999,Toyota,RAV4,red,1
